ProductName,ProductCategory,StandardPrice,ProductKey
20in Monitor,Displays,109.99,1
27in 4K Gaming Monitor,Displays,389.99,2
27in FHD Monitor,Displays,149.99,3
34in Ultrawide Monitor,Displays,379.99,4
AA Batteries (4-pack),Batteries,3.84,5
AAA Batteries (4-pack),Batteries,2.99,6
Apple Airpods Headphones,Audio,150.0,7
Bose SoundSport Headphones,Audio,99.99,8
Flatscreen TV,Displays,300.0,9
Google Phone,Phones,600.0,10
LG Dryer,Other,600.0,11
LG Washing Machine,Other,600.0,12
Lightning Charging Cable,Cables & Chargers,14.95,13
Macbook Pro Laptop,Computers,1700.0,14
ThinkPad Laptop,Computers,999.99,15
USB-C Charging Cable,Cables & Chargers,11.95,16
Vareebadd Phone,Phones,400.0,17
Wired Headphones,Audio,11.99,18
iPhone,Phones,700.0,19
